PanchayatId,AssemblyId,BlockId,Name,Population,Male,Female,SC,Scmale,ScFemale,ST,Stmale,StFemale
33,,3,Uranagudi,"1,078",528,550,425,215,210,-,-,-
34,,3,Vadakalur,"1,037",528,509,120,57,63,-,-,-
35,,3,Varavani,"1,970","1,012",958,541,276,265,-,-,-
1,,4,Alangulam ,1395,705,690,867,435,432,,,
2,,4,Chinnandivalasai ,1798,897,901,,,,,,
3,,4,Ekkakudi ,2629,1360,1269,610,302,308,,,
4,,4,Kalari ,1443,720,723,1227,610,617,,,
5,,4,Kalimankundu ,2502,1256,1246,16,6,10,,,
6,,4,Kanjirangudi ,7465,3791,3674,1071,539,532,1,1,
7,,4,Komboothi ,886,452,434,43,25,18,,,
8,,4,Kooraikootam ,268,104,164,9,5,4,,,
9,,4,Kudakottai ,2186,1099,1087,313,154,159,,,
10,,4,Kulapatham ,1909,957,952,658,321,337,,,
11,,4,Landai ,2419,1235,1184,2112,1066,1046,,,
12,,4,Mallal ,3118,1545,1573,2072,1013,1059,,,
13,,4,Mayakulam ,7118,3968,3150,1169,591,578,,,
14,,4,Melamadai ,1625,859,766,1311,692,619,,,
15,,4,Muthupettai ,1550,689,861,1,1,,,,
16,,4,Nainamarakkam ,2033,1020,1013,84,46,38,,,
17,,4,Nalirukkai ,1216,594,622,440,222,218,,,
18,,4,Methalodai ,1149,556,593,,,,,,
19,,4,Panaikulam ,773,378,395,370,181,189,,,
20,,4,Panayadiyendal ,1257,629,628,1178,592,586,,,
21,,4,Pathiratharavai ,1182,595,587,78,42,36,,,
22,,4,Periapattinam ,9730,5099,4631,338,195,143,,,
23,,4,Raghunathapuram ,5710,2942,2768,100,49,51,,,
24,,4,Sethukarai ,1509,788,721,295,147,148,,,
25,,4,Thillaiyenthal ,7471,4033,3438,2816,1404,1412,,,
26,,4,Thathanendal ,2092,1027,1065,1442,698,744,,,
27,,4,Thinaikulam ,2057,1022,1035,78,40,38,,,
28,,4,Tiruppullani ,1998,1002,996,378,187,191,,,
29,,4,Utharavai ,1098,515,583,25,14,11,,,
30,,4,Utrakosamangai ,2134,1123,1011,261,140,121,,,
31,,4,Valanoor ,1276,655,621,724,362,362,,,
32,,4,Vannankundu ,4955,2536,2419,105,59,46,,,
33,,4,Vellamarichukkatti ,1815,866,949,1176,559,617,,,
1,,5,Achankudi ,,,,,,,,,
2,,5,Andavorani ,,,,,,,,,
3,,5,Anjukottai ,,,,,,,,,
4,,5,Arasathur ,,,,,,,,,
5,,5,Arumbur ,,,,,,,,,
6,,5,Athiyur ,,,,,,,,,
7,,5,Kadambur ,,,,,,,,,
8,,5,Kaliyanagari ,,,,,,,,,
9,,5,Kallur ,,,,,,,,,
10,,5,Karankadu ,,,,,,,,,
11,,5,Karumozhi Sananvayal ,,,,,,,,,
12,,5,Kattavilagam ,,,,,,,,,
13,,5,Kattivayal ,,,,,,,,,
14,,5,Kodanur ,,,,,,,,,
15,,5,Kodipangu ,,,,,,,,,
16,,5,Kookudi ,,,,,,,,,
17,,5,Kulathur ,,,,,,,,,
18,,5,Kunjankulam ,,,,,,,,,
19,,5,Mangalagudi ,,,,,,,,,
20,,5,Mavur,,,,,,,,,
21,,5,Mugilthagam ,,,,,,,,,
22,,5,Mullimunai ,,,,,,,,,
23,,5,Nagrikathan ,,,,,,,,,
24,,5,Nambuthalai ,,,,,,,,,
25,,5,Neyvayal ,,,,,,,,,
26,,5,Nilamalagiyamangalam ,,,,,,,,,
27,,5,Orikottai ,,,,,,,,,
28,,5,Orur ,,,,,,,,,
29,,5,Paganur ,,,,,,,,,
30,,5,Palangulam ,,,,,,,,,
31,,5,Panachayal ,,,,,,,,,
32,,5,Pandugudi ,,,,,,,,,
33,,5,Pathanagudi ,,,,,,,,,
34,,5,Periakeeramangalam ,,,,,,,,,
35,,5,Pudupattinam ,,,,,,,,,
36,,5,Pullakadamban ,,,,,,,,,
37,,5,Sirugambaiyur ,,,,,,,,,
38,,5,Sirumalaikkottai ,,,,,,,,,
39,,5,Sundarapandianpattinam ,,,,,,,,,
40,,5,T.Nagani Alangurani ,,,,,,,,,
41,,5,Thalirmarungur ,,,,,,,,,
42,,5,Thelur ,,,,,,,,,
43,,5,Thiruvadanai ,,,,,,,,,
44,,5,Tiruvetriyur ,,,,,,,,,
45,,5,Tuthagudi ,,,,,,,,,
46,,5,Vattanam ,,,,,,,,,
47,,5,Vellayapuram ,,,,,,,,,
