AssemblyNo,AssemblyName,Category,Electors,DistrictId
208, Tiruchuli,,273644,
209, Paramakudi(SC),SC,284405,182
210, Tiruvadanai,,297394,181
211, Ramanathapuram,,205689,181
212, Mudhukulathur,,273187,182
213, Vilathikulam,,227058,
214, Thoothukkudi,,207471,
215, Tiruchendur,,220737,
216, Srivaikuntam,,248279,
217, Ottapidaram(SC),SC,233672,
218, Kovilpatti,,221225,
219, Sankarankovil(SC),SC,264848,
220, Vasudevanallur(SC),SC,282052,
221, Kadayanallur,,245101,
222, Tenkasi,,263584,
223, Alangulam,,244588,
224, Tirunelveli,,268968,
225, Ambasamudram,,235065,
226, Palayamkottai,,253520,
227, Nanguneri,,241732,
228, Radhapuram,,240072,
229, Kanniyakumari,,279651,
230, Nagercoil,,263633,
231, Colachel,,262175,
232, Padmanabhapuram,,236398,
233, Vilavancode,,244388,
234, Killiyoor,,252676,
