PanchayatId,AssemblyId,BlockId,Name,Population,Male,Female,SC,Scmale,ScFemale,ST,Stmale,StFemale
39,210,5,Sundarapandianpattinam,4007,2003,2004,0,0,0,0,0,0
40,210,5,T.Nagani  Alangurani,2261,1110,1151,615,302,313,0,0,0
41,210,5,Thalirmarungur,2302,1146,1156,207,109,98,0,0,0
42,210,5,Thelur,2525,1251,1274,41,20,21,0,0,0
43,210,5,Thiruvadanai,4333,2145,2188,1108,551,557,15,8,7
44,210,5,Tiruvetriyur,1385,710,675,253,126,127,0,0,0
45,210,5,Tuthagudi,1174,541,633,101,46,55,0,0,0
46,210,5,Vattanam,1823,914,909,133,61,72,0,0,0
47,210,5,Vellayapuram,2662,1328,1334,72,35,37,0,0,0
1,209,6,Ariyakudiputhur,3583,1823,1760,1360,689,671,0,0,0
2,209,6,Bogalur,5402,2794,2608,2124,1067,1057,0,0,0
3,209,6,Ettivayal,1983,1000,983,660,327,333,0,0,0
4,209,6,K.Valasai,1999,1011,988,252,128,124,0,0,0
5,209,6,Kamankottai,2416,1226,1190,2021,1032,989,0,0,0
6,209,6,Karuthanendhal,548,281,267,307,159,148,0,0,0
7,209,6,Kavithaikudi,624,310,314,228,117,111,0,0,0
8,209,6,Keelambal,1259,613,646,303,140,163,0,0,0
9,209,6,Kodikulam,781,395,386,263,139,124,0,0,0
10,209,6,Kumukkottai,836,391,445,214,108,106,0,0,0
11,209,6,Manjakollai,820,407,413,260,127,133,0,0,0
12,209,6,Manjur,2509,1229,1280,1406,684,722,0,0,0
13,209,6,Mennendhinagachi,2427,1230,1197,1194,602,592,0,0,0
14,209,6,Mudalur,1841,942,899,577,297,280,0,0,0
15,209,6,Muthuvayal,2011,1017,994,1217,628,589,1,1,0
16,209,6,Pandikanmoi,599,322,277,190,93,97,0,0,0
17,209,6,Pottithatti,1152,594,558,330,163,167,0,0,0
18,209,6,Semanur,1132,577,555,1,0,1,0,0,0
19,209,6,Sevvur,1972,1033,939,373,210,163,0,0,0
20,209,6,Seyyalur,512,273,239,267,139,128,0,0,0
21,209,6,T.Karungulam,1494,767,727,425,212,213,0,0,0
22,209,6,Theeyanur,883,457,426,575,308,267,0,0,0
23,209,6,Theivendranallur,1246,608,638,458,221,237,0,0,0
24,209,6,Urathur,1130,576,554,798,414,384,0,0,0
25,209,6,Vairavanendal,1800,908,892,749,376,373,0,0,0
26,209,6,Veeravanur,1025,512,513,548,275,273,0,0,0
1,212,7,A.Punavasal,2004,1007,997,42,20,22,0,0,0
2,212,7,A.Usilangulam,1262,644,618,336,175,161,0,0,0
3,212,7,Appanur,3329,1664,1665,124,55,69,0,0,0
4,212,7,Avathandai,2519,1211,1308,413,204,209,0,0,0
5,212,7,Chithirangudi,599,288,311,184,88,96,0,0,0
6,212,7,Enathi,1372,700,672,335,179,156,0,0,0
7,212,7,Ervadi,13366,6689,6677,1078,549,529,0,0,0
8,212,7,Idambadal,1902,888,1014,715,352,363,0,0,0
9,212,7,Ilanchembur,4002,1965,2037,52,24,28,0,0,0
10,212,7,Kadaladi,4831,2422,2409,469,236,233,1,0,1
11,212,7,Kadugusandai,2687,1368,1319,123,61,62,0,0,0
12,212,7,Kandilan,1468,742,726,309,163,146,0,0,0
13,212,7,Kanikoor,1187,618,569,27,16,11,0,0,0
14,212,7,Kannirajpuram,5086,2593,2493,77,29,48,0,0,0
15,212,7,Karunkulam,1755,909,846,465,249,216,0,0,0
16,212,7,Keelachirupodhu,2413,1161,1252,1159,554,605,0,0,0
17,212,7,Keelakidaram,2789,1355,1434,396,194,202,0,0,0
18,212,7,Keelasakkulam,1317,658,659,75,40,35,0,0,0
19,212,7,Keelaselvanur,2725,1382,1343,726,375,351,4,3,1
20,212,7,Kidathirukkai,2249,1140,1109,434,200,234,0,0,0
21,212,7,Kokkarankottai,528,261,267,179,94,85,0,0,0
22,212,7,Kondunallanpatti,1120,554,566,0,0,0,0,0,0
23,212,7,Kothankulam,2422,1216,1206,534,264,270,0,0,0
24,212,7,M.Karisalkulam,1053,556,497,1,1,0,0,0,0
25,212,7,Mangulam,856,400,456,122,48,74,0,0,0
26,212,7,Marandai,1594,821,773,751,395,356,0,0,0
27,212,7,Mariyur,5097,2510,2587,507,252,255,0,0,0
28,212,7,Meenangudi,1895,953,942,182,89,93,0,0,0
29,212,7,Melachirupodhu,1969,959,1010,363,179,184,0,0,0
30,212,7,Melakidaram,2399,1201,1198,239,121,118,0,0,0
31,212,7,Melaselvanur,2412,1223,1189,458,230,228,0,0,0
32,212,7,Mookkaiyur,2981,1542,1439,32,17,15,0,0,0
33,212,7,Narippaiyur,9861,5010,4851,604,301,303,7,6,1
34,212,7,Oppilan,2506,1275,1231,0,0,0,0,0,0
35,212,7,Orivayal,2006,1049,957,415,209,206,0,0,0
36,212,7,Oruvanendal,1029,508,521,11,5,6,0,0,0
37,212,7,P.Keerandai,1970,1011,959,615,317,298,0,0,0
38,212,7,Panivasal,1323,709,614,295,162,133,0,0,0
39,212,7,Pannanthai,541,289,252,140,73,67,0,0,0
40,212,7,Peikulam,1086,540,546,265,118,147,0,0,0
41,212,7,Periakulam,1120,555,565,45,21,24,0,0,0
42,212,7,Pillayarkulam,2226,1136,1090,590,287,303,0,0,0
43,212,7,Pothikulam,2203,1150,1053,335,185,150,0,0,0
44,212,7,S.Keeerandai,1046,513,533,36,19,17,0,0,0
45,212,7,S.Tharaikudi,3815,1942,1873,998,510,488,0,0,0
46,212,7,S.Vagaikulam,1401,686,715,707,337,370,0,0,0
47,212,7,Senjudainathapuram,607,297,310,0,0,0,0,0,0
48,212,7,Sethurajapuram,493,244,249,118,59,59,0,0,0
49,212,7,Sevalpatti,2459,1227,1232,897,430,467,0,0,0
50,212,7,Sikkal,6858,3559,3299,1869,959,910,0,0,0
51,212,7,Siraikulam,2647,1351,1296,801,405,396,0,0,0
52,212,7,Sokkanai,2048,992,1056,435,217,218,0,0,0
53,212,7,Sonaipiriyankottai,586,283,303,40,21,19,0,0,0
54,212,7,Souripattinam,1574,798,776,0,0,0,0,0,0
55,212,7,T.Karisalkulam,888,448,440,6,3,3,0,0,0
56,212,7,T.Veppangulam,1898,941,957,363,179,184,0,0,0
57,212,7,Thanichiyam,1808,917,891,354,182,172,0,0,0
58,212,7,Tirumalugandankottai,904,447,457,64,32,32,0,0,0
59,212,7,Uchinatham,1011,493,518,180,85,95,0,0,0
60,212,7,Valinockam,7464,3802,3662,13,5,8,0,0,0
1,212,8,A.Tharaikkudi,1630,820,810,338,171,167,0,0,0
2,212,8,Achchangulam,2863,1401,1462,1283,611,672,0,0,0
3,212,8,Anaiyur,1794,939,855,424,211,213,0,0,0
4,212,8,Ariamangalam,1188,615,573,35,20,15,0,0,0
5,212,8,Eluvanur,1413,689,724,781,385,396,0,0,0
6,212,8,Erumaikulam,1448,753,695,76,37,39,0,0,0
7,212,8,Idayankulam,850,436,414,46,24,22,0,0,0
8,212,8,Idivilagi,800,417,383,8,4,4,0,0,0
9,212,8,Ilanthaikulam,1368,690,678,296,153,143,0,0,0
10,212,8,K.Nedungulam,2042,1037,1005,498,253,245,0,0,0
11,212,8,K.Veppangulam,1699,875,824,10,3,7,0,0,0
12,212,8,Kadamangalam,1634,840,794,144,74,70,0,0,0
13,212,8,Kakkudi,1175,603,572,112,54,58,0,0,0
14,212,8,Kathanendal,2063,1009,1054,78,42,36,0,0,0
15,212,8,Keelamudimannarkottai,2923,1482,1441,206,94,112,0,0,0
16,212,8,Keelaramanadhi,1597,835,762,68,35,33,0,0,0
17,212,8,Komboothi,1366,721,645,45,20,25,0,0,0
18,212,8,Kovilangulam,3912,1974,1938,1495,737,758,0,0,0
19,212,8,M.pudukulam,1676,848,828,186,85,101,0,0,0
20,212,8,Mandalamanickam,4989,2549,2440,877,447,430,0,0,0
21,212,8,Maraikkulam,1439,713,726,44,21,23,0,0,0
22,212,8,Mavilangai,1031,531,500,22,12,10,0,0,0
23,212,8,Melamudimannarkottai,1231,616,615,81,43,38,0,0,0
24,212,8,Melaramanadhi,1225,596,629,101,46,55,0,0,0
25,212,8,Mudalnadu,989,475,514,18,7,11,0,0,0
26,212,8,Musittaikurichi,4496,2204,2292,1414,696,718,0,0,0
27,212,8,N.Karisalkulam,2166,1083,1083,41,20,21,0,0,0
28,212,8,Nagarathakurichi,944,481,463,129,71,58,0,0,0
29,212,8,Narayanapuram,4560,2242,2318,437,214,223,0,0,0
30,212,8,Natham,2562,1329,1233,500,242,258,0,0,0
31,212,8,Neeravi,2515,1287,1228,393,198,195,0,0,0
32,212,8,O.Karisalkulam,2470,1216,1254,1281,631,650,0,0,0
33,212,8,Pakkuvetti,3613,1855,1758,562,289,273,0,0,0
34,212,8,Pammanendal,1178,590,588,40,23,17,0,0,0
35,212,8,Pappanam,1059,534,525,842,423,419,0,0,0
36,212,8,K.Pappankulam,1883,962,921,38,21,17,0,0,0
37,212,8,Pappurediyapatti,1471,725,746,67,32,35,0,0,0
38,212,8,Pasumpon,2619,1467,1152,499,254,245,0,0,0
39,212,8,Peraiyur,7433,3764,3669,5458,2764,2694,0,0,0
40,212,8,Perunali,3755,1918,1837,661,348,313,0,0,0
41,212,8,Ponthampuli,669,300,369,88,45,43,0,0,0
42,212,8,Pudukkottai,1052,533,519,49,27,22,0,0,0
43,212,8,Pulvoikulam,1717,894,823,800,405,395,0,0,0
44,212,8,Ramasamypatti,3657,1850,1807,67,31,36,0,0,0
45,212,8,Sadayanendal,2011,1007,1004,109,47,62,0,0,0
46,212,8,Sengappadai,1734,884,850,519,261,258,0,0,0
47,212,8,T.Punavasal,2674,1307,1367,892,436,456,0,0,0
48,212,8,T.Valasubramaniapuram,1336,655,681,73,37,36,0,0,0
49,212,8,Thimmanathapuram,2229,1162,1067,0,0,0,0,0,0
50,212,8,Udayanathapuram,3858,1920,1938,1868,924,944,0,0,0
51,212,8,Valayapookulam,1325,647,678,274,136,138,0,0,0
52,212,8,Valanthai,1867,941,926,975,493,482,0,0,0
53,212,8,Vangarupuram,1946,1013,933,886,475,411,0,0,0
1,212,9,Alanganur,1782,936,846,798,439,359,0,0,0
2,212,9,Anaiseri,956,503,453,0,0,0,0,0,0
3,212,9,Arapothu,1378,697,681,1191,606,585,0,0,0
4,212,9,Athanakurichi,1702,848,854,560,289,271,0,0,0
5,212,9,Athankothangudi,1699,886,813,847,443,404,0,0,0
6,212,9,Athikulam,1032,488,544,296,139,157,0,0,0
7,212,9,Kakkoor,2865,1433,1432,946,475,471,0,0,0
8,212,9,Karumal,1075,532,543,578,276,302,0,0,0
9,212,9,Kathakulam,559,273,286,245,128,117,0,0,0
10,212,9,Keelakanjarankulam,1113,557,556,442,222,220,0,0,0
11,212,9,Keelakodumalur,1597,793,804,1037,489,548,0,0,0
12,212,9,Keelakulam,1782,880,902,543,265,278,0,0,0
13,212,9,Keelathooval,2679,1290,1389,84,43,41,0,0,0
14,212,9,Keeranur,1905,975,930,383,195,188,0,0,0
15,212,9,Kolundurai,2082,938,1144,800,383,417,3,3,0
16,212,9,Kumarakkurichi,1597,850,747,508,268,240,0,0,0
17,212,9,Mahindi,1895,921,974,371,188,183,0,0,0
18,212,9,Manaloor,1450,722,728,280,146,134,0,0,0
19,212,9,Melakanniseri,1165,557,608,67,28,39,0,0,0
20,212,9,Melakodumalur,2205,1109,1096,963,475,488,0,0,0
21,212,9,Michaelpattinam,742,367,375,26,15,11,0,0,0
22,212,9,Nallukurichi,2172,1146,1026,284,151,133,0,0,0
23,212,9,Nallur,709,328,381,35,16,19,0,0,0
24,212,9,Palangulam,720,359,361,652,324,328,0,0,0
25,212,9,Periaelai,1072,520,552,1069,520,549,0,0,0
26,212,9,Pirabakkalur,2082,927,1155,670,317,353,0,0,0
27,212,9,Ponnakkaneri,2295,1139,1156,352,180,172,0,0,0
28,212,9,Pooseri,2178,1111,1067,248,121,127,0,0,0
29,212,9,Posukkudi,1230,618,612,281,135,146,0,0,0
30,212,9,Pulithikulam,1320,674,646,533,265,268,0,0,0
31,212,9,Puliyangudi,2478,1246,1232,948,482,466,0,0,0
32,212,9,Sambakulam,1883,924,959,514,250,264,0,0,0
33,212,9,Sathanur,1650,870,780,267,144,123,1,1,0
34,212,9,Sellur,2540,1273,1267,1064,519,545,1,0,1
35,212,9,Selvanayagapuram,2589,1314,1275,7,3,4,0,0,0
36,212,9,Sembongudi,808,380,428,343,168,175,0,0,0
37,212,9,Sirugudi,1500,753,747,0,0,0,0,0,0
38,212,9,Siruthalai,1903,954,949,921,449,472,0,0,0
39,212,9,Theriruveli,5314,2666,2648,1766,896,870,0,0,0
40,212,9,Thiruvarangam,2057,1138,919,477,277,200,0,0,0
41,212,9,Ulaiyur,2041,1037,1004,595,292,303,0,0,0
42,212,9,Velanadu,2104,1034,1070,317,151,166,0,0,0
43,212,9,Vengalakurichi,2169,1047,1122,428,219,209,0,0,0
44,212,9,Vikkiramapandiapuram,1172,569,603,140,72,68,0,0,0
45,212,9,Vilakanendal,842,397,445,322,154,168,0,0,0
46,212,9,Vilangalathur,4081,1952,2129,1773,865,908,0,0,0
1,209,10,A.Panaiyur,926,489,437,104,65,39,0,0,0
2,209,10,Akkiramesi,1811,887,924,70,36,34,0,0,0
3,209,10,Anjamadai,1382,632,750,289,127,162,0,0,0
4,209,10,Arasanur,1002,537,465,122,66,56,0,0,0
5,209,10,Ariyankottai,1478,671,807,203,95,108,0,0,0
6,209,10,Attangudi,1595,804,791,457,231,226,0,0,0
7,209,10,Gangaikondan,932,471,461,200,97,103,0,0,0
8,209,10,Kalliyadiyendal,683,353,330,3,0,3,0,0,0
9,209,10,Karadaranthakudi,1726,873,853,254,135,119,0,0,0
10,209,10,Keelakavanoor,802,401,401,111,57,54,0,0,0
11,209,10,Kiliyur,1430,705,725,455,218,237,0,0,0
12,209,10,Koluvur,812,405,407,200,94,106,0,0,0
13,209,10,Kottakudi,859,401,458,1,0,1,1,1,0
14,209,10,Kulathur,1380,709,671,989,513,476,0,0,0
15,209,10,Manakudi,526,282,244,38,22,16,0,0,0
16,209,10,Mummudisathan,663,335,328,226,116,110,0,0,0
17,209,10,Nagaram,1516,716,800,117,56,61,0,0,0
18,209,10,Nagaramangalam,1464,731,733,197,93,104,0,0,0
19,209,10,Nainarkoil,1800,901,899,283,138,145,0,0,0
20,209,10,P.Kodikulam,1342,669,673,10,5,5,0,0,0
21,209,10,Pagaivendri,876,443,433,189,105,84,0,0,0
22,209,10,Pandappanendal,1067,531,536,92,51,41,0,0,0
23,209,10,Pandiyur,1365,679,686,463,230,233,1,0,1
24,209,10,Perungalur,1325,662,663,373,196,177,0,0,0
25,209,10,Pottagavayal,2265,970,1295,538,239,299,0,0,0
26,209,10,Radhappuli,1615,815,800,482,252,230,0,0,0
27,209,10,Sadurvedamangalam,931,458,473,275,133,142,0,0,0
28,209,10,Sirakikottai,1002,506,496,0,0,0,0,0,0
29,209,10,Siruvayal,2084,1100,984,525,274,251,0,0,0
30,209,10,Thalayadikottai,2022,1031,991,150,68,82,0,0,0
31,209,10,Thavalaikulam,601,264,337,70,36,34,0,0,0
32,209,10,Thethangal,1044,531,513,646,332,314,0,0,0
33,209,10,Thiyagavanseri,653,350,303,417,226,191,0,0,0
34,209,10,Vadavaneri,896,423,473,143,62,81,0,0,0
35,209,10,Vagavayal,1045,542,503,210,111,99,0,0,0
36,209,10,Vallam,2131,1075,1056,796,397,399,0,0,0
37,209,10,Vaniyavallam,1308,672,636,670,336,334,0,0,0
1,209,11,Ariyanendal,2003,998,1005,433,214,219,0,0,0
2,209,11,Enathikottai,778,380,398,618,308,310,0,0,0
3,209,11,K.Karungulam,921,457,464,537,259,278,0,0,0
4,209,11,Kalayur,2544,1299,1245,1576,797,779,0,0,0
5,209,11,Kallikudi,1277,662,615,1131,584,547,0,0,0
6,209,11,Kamuthakudi,3474,1756,1718,844,430,414,0,0,0
7,209,11,Kanjiyendal,2037,1047,990,0,0,0,0,0,0
8,209,11,Keelaparthibanur,1770,902,868,956,476,480,0,0,0
9,209,11,Keelaparuthiyur,804,408,396,18,6,12,0,0,0
10,209,11,Kulandapuri Arungulam,1791,912,879,801,414,387,0,0,0
11,209,11,Madanthai,1586,812,774,467,231,236,0,0,0
12,209,11,Melaparthibanur,8232,4131,4101,2157,1075,1082,0,0,0
13,209,11,Melayakudi,3468,1758,1710,534,261,273,0,0,0
14,209,11,Melkavanur,841,443,398,11,7,4,0,0,0
15,209,11,Mosukkudi,1783,919,864,497,265,232,0,0,0
16,209,11,Nelmadur,1483,691,792,1192,563,629,0,0,0
17,209,11,Nenmeni,1603,846,757,526,263,263,0,0,0
18,209,11,P.Puthur,1255,638,617,244,118,126,0,0,0
19,209,11,Pambur,2150,1058,1092,1036,508,528,0,0,0
20,209,11,Peerkankurichi,1386,709,677,383,206,177,0,0,0
21,209,11,Perungarai,3061,1572,1489,567,286,281,0,0,0
22,209,11,Poduvakudi,892,448,444,250,125,125,0,0,0
